master_id,recency,frequency,monetary,recency_score,frequency_score,monetary_score,RF_SCORE,segment
b4f0ff00-1dba-11ea-8bf2-000d3a38a36f,25,5.0,656.93,5,4,3,54,champions
5b8a548a-a94c-11e9-a2fc-000d3a38a36f,27,6.0,682.9300000000001,5,4,4,54,champions
efec49ea-a2d9-11e9-a2fc-000d3a38a36f,5,4.0,305.84,5,4,2,54,champions
a1d30df0-644b-11ea-a6dc-000d3a38a36f,13,6.0,830.54,5,4,4,54,champions
fca2ba6c-ab34-11e9-a2fc-000d3a38a36f,14,4.0,132.94,5,4,1,54,champions
26d4c5b4-1e8e-11eb-9dc3-000d3a38a36f,14,6.0,394.44,5,4,2,54,champions
9676e250-2086-11ea-87bf-000d3a38a36f,15,6.0,1383.77,5,4,5,54,champions
5b79d3ba-1a28-11ea-941b-000d3a38a36f,6,5.0,593.41,5,4,3,54,champions
05081884-3ed1-11ea-b794-000d3a38a36f,18,7.0,813.13,5,4,4,54,champions
f4ecfc9c-ff08-11e9-a5e8-000d3a38a36f,31,4.0,494.4,5,4,3,54,champions
4524186a-263d-11eb-8a9b-000d3a38a36f,25,5.0,635.31,5,4,3,54,champions
14e0d57e-b110-11e9-9757-000d3a38a36f,8,5.0,878.92,5,4,4,54,champions
8aa12f2a-5200-11ea-a243-000d3a38a36f,6,6.0,895.36,5,4,4,54,champions
70e044fa-aff7-11e9-9757-000d3a38a36f,21,5.0,912.3,5,4,4,54,champions
c97181d8-f4ee-11e9-9346-000d3a38a36f,2,5.0,693.49,5,4,4,54,champions
bb6ce738-43d3-11ea-8b43-000d3a38a36f,29,6.0,538.92,5,4,3,54,champions
1192e466-9f2c-11e9-9897-000d3a38a36f,75,15.0,983.84,4,5,4,45,loyal_customers
409f9a4c-9e2d-11e9-9897-000d3a38a36f,46,13.0,1108.44,4,5,5,45,loyal_customers
147fa5d0-9e94-11e9-9897-000d3a38a36f,70,12.0,679.6700000000001,4,5,4,45,loyal_customers
c5c96c28-fbd6-11e9-b138-000d3a38a36f,39,7.0,974.8000000000001,4,5,4,45,loyal_customers
559c76c4-ae61-11e9-a2fc-000d3a38a36f,54,7.0,803.24,4,5,4,45,loyal_customers
e04b7526-b0ce-11e9-9757-000d3a38a36f,61,10.0,1285.59,4,5,5,45,loyal_customers
c7e0c6f4-ad58-11e9-a2fc-000d3a38a36f,68,8.0,719.92,4,5,4,45,loyal_customers
289b9174-a5d2-11e9-a2fc-000d3a38a36f,47,16.0,1875.8,4,5,5,45,loyal_customers
1c0561b0-af73-11e9-a2fc-000d3a38a36f,63,8.0,1703.3500000000001,4,5,5,45,loyal_customers
3c090008-ad29-11e9-a2fc-000d3a38a36f,83,10.0,1656.0900000000001,4,5,5,45,loyal_customers
58e92576-a979-11e9-a2fc-000d3a38a36f,48,8.0,673.72,4,5,4,45,loyal_customers
f70e0940-60c8-11ea-8dd8-000d3a38a36f,75,7.0,908.6600000000001,4,5,4,45,loyal_customers
3a2ec412-42f6-11ea-8b43-000d3a38a36f,43,7.0,554.84,4,5,3,45,loyal_customers
8898b5ac-b0a9-11e9-9757-000d3a38a36f,54,9.0,1128.01,4,5,5,45,loyal_customers
463869d8-a2ed-11e9-a2fc-000d3a38a36f,42,14.0,1683.42,4,5,5,45,loyal_customers
